character,line
Jesse,You got a brother in the goddamned DEA?!
Walt,What?
Jesse,"You said you were just doing some ride-along! Yes or no, do you have a brother in the DEA?"
Walt,Brother-in-law.
Jesse,"Oh, now there's a load off my mind."
Walt,Where did you hear that?
Jesse,"Your freaking wife told me when she was here all up on my shit! Yeah, that's right. She almost caught me moving Emilio! Good job wearing the pants in the family! And why did you go telling her I was selling you weed?"
Walt,Because somehow it seemed preferable to admitting that I cook crystal meth and killed a man.
Walt,"[after Jesse's ceiling caves in, dumping bloody offal onto the floor] I'm sorry, what were you asking me? Oh, yes, that stupid plastic container I asked you to buy. You see, hydrofluoric acid won't eat through plastic; it will however dissolve metal, rock, glass, ceramic... so there's that."
Walter,We've got work to do.
Jesse,"No, no! You! You've got work to do! I did my part!"
Walter,You mean that obscenity that I spent the last two hours cleaning up?! That is your contribution?!
Jesse,"Yo, kiss my pink ass, man! I didn't ask for any of this! How am I supposed to live here now, huh?! My whole house smells like toe cheese and dry cleaning!"
Walter,Because you didn't follow my instructions!
Jesse,"Oh well, heil Hitler, bitch! And let me tell you something else. We flipped a coin, okay? You and me. You and me! Coin flip is sacred! Your job is waiting for you in that basement, as per the coin!"
Hank,"You know who lives in the palace? Meth-heads. Nasty, skeevy meth-heads who'd sell their grandma's coochie for a hit. [Walter Jr. chuckles] Oh, you think that's funny? That's funny, huh? Yeah. Let me tell you something. Every one of these miserable wastes of skin got started how? How do you think they started?"
Hank,"What do you think it was they were all doing before they graduated to shooting meth in their dicks? A gateway drug. That's what we call it. Dollars to doughnuts, and I shit you not, that gateway drug was marijuana, every time. You understand?"
Hank,"'Cause I love you, you little bastard."
Walter,"You know, you keep telling me that I don't have it in me. Well, maybe, maybe not. I sure as hell am looking for any reason not to. I mean, any good reason at all. Sell me. Tell me what it is."
Walter,I don't know. But you gotta convince me and you're going nowhere until you do.
Walter,Do you want to... [motions for Krazy-8 to turn around so he can unlock the chain. Krazy-8 turns around] So you're not angry?
Walter,That's very understanding.
Walter,Me too.
Walter,"The moment I do, are you gonna stick me with that broken piece of plate?"
Walter,I'm sorry...I'm sorry...I'm so sorry...
Walter,I don't know. Just...doesn't it seem like...something's missing?
Gretchen,What about the soul?
Walter,The soul? There's nothing but chemistry here.
Hank,"So be on notice. We got new players in town. We don't know who they are, where they come from, but they possess an extremely high skill-set. Me personally? I'm thinking Albuquerque just might have a new kingpin."
Walter,I have cancer. Lung cancer. It's bad.
Walter,You can't be serious. What the hell are you doing here?
Jesse,"Yo, I waited 'til the ball buster left. I mean, no offense."
Walter,Who sent you? You wearing a wire? You setting me up?
Jesse,"A wire? You want a wire? I got a wire. [grabs crotch] Speak into the mic, bitch! What the hell's wrong with you? A wire. Jesus!"
Walter,So who did you tell about–
Jesse,"Nobody! What are you, nuts?"
Walter,Then why are you here?
Jesse,I don't know. To like...touch base.
Walter,Touch base?
Jesse,"Yeah, you know...what you call...a debrief? Maybe we could like...I thought we could debrief."
Walter,"Wow, that's...that's what you think we need, to debrief?"
Jesse,"Yeah, after what happened, it just seems like the thing to do. Kind of, you know, talk about it. We can't talk to anybody else. Anyway, that and I wanted to...I wanted to tell you how much everybody digs that meth we cooked."
Walter,Everybody digs...the meth we cooked.
Jesse,"Seriously, I got dudes that would give their left nut for a little more."
Walter,Great.
Jesse,"I'm just saying, if you ever...saw your way clear to...you know, you and I...cooking a little more."
Walter,Get the hell off my property.
Jesse,What? I'm just saying.
Walter,Go and don't come back. Now!
Jesse,"Alright. You know what? [Jesse takes out a wad of cash] Four grand. Your share from selling that batch. That's why I'm here. Yeah, that's right. I didn't smoke it all. [Jesse tosses the money into Walter's pool and leaves]"
Jesse,"Right on, little bro! Making mad in-roads with the business community."
Skyler,Can I call them and tell them you'll start next week?
Walter,"I just think that we need to...discuss it a little more, that's all."
Skyler,What is there to discuss? You're going to get the best treatment and he's the best.
Walter,"Well, there's the money discussion. $90,000 out of pocket. Maybe more."
Skyler,"There's a way, Walt. There's financing, there's installment plans. I could always go back to work. Walt, there's always a way."
Walter,"Alright. Skyler, say that there is a way, and we spend all that money, and...am I supposed to leave you with all that debt? I just don't want emotions ruling us. Maybe treatment isn't the way to go."
Jesse,"Yo, why would you want this lame-ass job anyway? I mean, no offense."
Badger,"Because I'm on probation, yo. Gotta prove to the man I'm rehabilitated. [smokes a joint]"
Walter,"Well, back when Elliott and I were in grad school, we came up with the name. Schwartz: black. Walter White. So together, they became Gray Matter Technologies."
Farley,"Cute, huh?"
Man,So you run the company with Elliott?
Walter,"Well, no. No, that's Gretchen and Elliott. I gravitated toward education."
Man,What university?
Elliot,"I miss this, Walt."
Walter,"Yeah. Me too. Listen, uh, we- we ought to get together more often. Y'know, Skyler and I would love to have you and Gretchen over for dinner sometime."
Elliot,"Oh, sure, yeah, absolutely...but, you know, what I mean is that- that you and I should work together again."
Walter,"Heh, what, are you gonna teach high school?"
Elliot,"No, no, no, no, seriously. W-what's stopping us?"
Walter,"...wait a minute. Elliot, what are you- Are you asking me to me to come work for you at Gray Matter?"
Elliot,"Yeah, why not? You'd fit right in! You're brilliant, you- you got a ton of experience."
Walter,"Well, I...I wouldn't really know where to begin. I mean...god, you have no idea. I spend my days just drawing out atoms on the chalkboard and trying to get these kids to learn the periodic table."
Elliot,"Look, I-I understand. You're a little rusty, but you're not seeing the upside here. We could really benefit from a- a new set of eyes. You know what it's like when you're trying to crack some problem for months on end, you get tunnel vision. One guy thinking outside of the box, you may be exactly what we need."
Walter,"Well, listen, Elliot, it...the offer is very appealing, it really is, I thank you, but uh...there's-there's something you should know. I-I have some personal issues."
Elliot,"Look, there's nothing we can't work out."
Walter,"Well, yeah, but...it's- it's complicated."
Elliot,We can help you. We- we have excellent health insurance. The best.
Walter,"Alright, I've got the talking pillow now. Okay? We all, in this room, love each other. We want what's best for each other and I know that. I am very thankful for that. But...what I want...what I want, what I need, is a choice."
Skyler,What does that...mean?
Walter,"Sometimes I feel like I never actually make any of my own. Choices, I mean. My entire life, it just seems I never...you know, had a real say about any of it. Now this last one, cancer...all I have left is how I choose to approach this."
Skyler,"Then make the right choice, Walt. You're not the only one it affects. What about your son? Don't you wanna see your daughter grow up? I just..."
Walter,"Of course I do. Skyler, you've read the statistics. These doctors...talking about surviving. One year, two years, like it's the only thing that matters. But what good is it, to just survive if I am too sick to work, to enjoy a meal, to make love? For what time I have left, I want to live in my own house. I want to sleep in my own bed. I don't wanna choke down 30 or 40 pills every single day, lose my hair, and lie around too tired to get up...and so nauseated that I can't even move my head. And you cleaning up after me? Me...some dead man, some artificially alive...just marking time? No. No. [pause] And that's how you would remember me. That's the worst part. So...that is my thought process, Skyler. I'm sorry. I just...I choose not to do it."
Jesse,Yo.
Walter,Wanna cook?
Walter,"Let's get something straight. This – the chemistry – is my realm. I am in charge of the cooking. Out there on the street, you deal with that. As far as our customers go, I don't want to know anything about them. I don't need to see them. I don't want to hear from them. I want no interaction with them whatsoever. This operation is you and me, and I'm the silent partner. You got any issues with that?"
Jesse,"Whatever, man."
Walter,"No matter what happens, no more bloodshed. No violence."
Jesse,When were you going to tell me?
Walter,Tell you what?
Jesse,"Cancer. You got it, right?"
Walter,How did you know?
Jesse,"[pointing to Walter's chemo mark on his chest] My aunt had one of those...dots on her to target the radiation. What is it, in your lung? I'm your partner, man. You should have told me. That's not cool, okay? Not at all. What stage are you?"
Walter,3-A.
Jesse,Gone to your lymph nodes.
Walter,Your aunt...How bad was she when they caught it?
Jesse,Bad enough. She didn't last long.
Walter,How long?
Jesse,Seven months. I get it now. That's why you're doing all this. You want to make some cash for your people before you check out.
Walter,You got a problem with that?
Jesse,You tell me. You're the one that looks like you just crawled out of a microwave.
Walter,How much meth did you sell?
Jesse,Nearly an ounce.
Walter,"Last I checked, there were sixteen ounces to a pound. What did you do with the rest, smoke it?"
Jesse,"Yo, I've been out there all night slinging crystal! You think it's cake, moving a pound of meth one 'teenth at a time?"
Walter,So why are you selling it in such small quantities? Why don't you just sell the whole pound at once?
Jesse,"To who? What do I look like, Scarface?"
Walter,"This... [holds up his small share] is unacceptable. I am breaking the law, here! This return is too little for the risk! I thought you'd be ready for another pound today!"
Jesse,"You may know a lot about chemistry man, but you don't know jack about slinging dope."
Walter,"Well, I'll tell ya–I know a lack of motivation when I see it. [Jesse scoffs] Come on, you–you've gotta be more imaginative, you know, just–just think outside the box here! We have to move our product in bulk. Wholesale! Now, how do we do that?"
Jesse,"What do you mean? To, like, a distributor?"
Walter,"Yes. Yes, that's what we need. We need a distributor! Now, do you know anyone like that?"
Jesse,"Yeah. I mean, I used to, until you killed him."
Walter,So... who took Krazy-8's place?
Jesse,"Some guy named Tuco. Badass, from what I hear."
Walter,"Tuco. Okay, so then- just go talk to Tuco."
Jesse,"[scoffs] Right. Like, ""Hello, sir. Hey, I know you don't know me, but would you be interested in a felony quantity of methamphetamine?"""
Walter,"Well, yes, but maybe with a little more salesmanship, perhaps?"
Jesse,"You just don't get it, man! Okay, this guy's OG!"
Walter,What–what does that mean?
Jesse,"Agh, Jesus– look, he's off our level, man! He's not going to do business with some dude he doesn't know! You just don't understand the way it works; you can't just bum-rush some high-level iceman and start cutting deals, okay? It's risky – you need an intro, you need someone to vouch."
Walter,"Well, who introduced you to Krazy-8?"
Jesse,"Emilio, and that's only because I knew him from, like, third grade, and we can't talk to Emilio either, because–"
Walter,"Alright, alright, alright..."
Jesse,"Look, I'm telling you, Mr. White... it's too risky. 'Kay? I mean, we're making money, why can't you just be satisfied with the way it is?"
Walter,"Oh, come on! Jesus! JUST GROW SOME FUCKIN' BALLS!!"
Tuco,What's your name?
Walter,Heisenberg.
Tuco,"Heisenberg. Okay. Have a seat, Heisenberg.."
Walter,I don't imagine I'll be here very long.
Tuco,"No? Alright, be that way. It's your meeting. Why don't you start talking and tell me what you want?"
Walter,"$50,000."
Tuco,[laughs] Oh man! Fifty G's? How you figure that?
Walter,35 for the pound of meth you stole and another fifteen for my partner's pain and suffering.
Tuco,"Partner? [puts a cigarette out on his tongue] Oh yeah, I remember that little bitch! So you must be daddy. [bursts out laughing] Let me get this straight: I steal your dope, I beat the piss out of your mule boy, and then you walk in here, and you bring me more meth?! [laughs] Woo! That's a brilliant plan, esé."
Gonzo,Brilliant.
Walter,You got one part of that wrong. [reaches out and picks up the crystal Tuco had examined] This... is not meth.
Tuco,Are you fucking nuts?!
Walter,[holding the bag threateningly over his head] You wanna find out?
Tuco,"No-Doze, Gonzo, calma! Calma. Calma. You got balls, I'll give you that. Alright... alright. I'll give you your money."
Tuco,"That crystal your partner brought me, it sold faster than $10 ass in T.J. What say you bring me another pound next week?"
Walter,Money up front.
Tuco,"Alright. Money up front. Sometimes you got to rob to keep your riches, just as long as we got an understanding."
Walter,One pound is not going to cut it. You have to take two.
Tuco,"Orale. [points to Walter's bag] Hey, what is that shit?"
Walter,"Fulminated mercury, and a little tweak of chemistry."
Skyler,Where...did that come from? And why was it so damn good?
Walter,Because it was illegal.
Jesse,"A junkyard? Let me guess, you picked this place?"
Walter,What's wrong with it? It's private.
Jesse,"This is...This is like a...a non-criminal's idea of a drug meet. This is like, ""Oh, I saw this in a movie. Ooh, look at me."""
Walter,"Yeah, so...so where do you transact business? Enlighten me."
Jesse,"I don't know. How about Taco Cabeza? Half the deals I've ever done went down at Taco Cabeza. Nice and public. Open twenty-four hours. Nobody ever gets shot at Taco Cabeza. Hell, why not the mall? You know, wait at the Gap. ""Hey! It's time for the meet!"" You know, I'll put down the flat-front khakis, head on over, grab an Orange Julius. Skip the part where psycho lunatic Tuco, you know, comes and steals my drugs and leaves me bleeding to death."
Walter,"Look, you don't have to be here for this, okay? I mean, seriously. I'm okay."
Jesse,"Nah, I'm no pussy. I'm good."
Tuco,"Mr. Clean and his boy. [to Jesse] Now, I'm sorry I had to tune you up. Respect, ese. You gotta give it to get it. [looks around] Hey, what are we doing way the hell out here? What, they close the mall or something? [Jesse glances at Walter] Heisenberg, come on, break it out. [Walter takes out a bag of meth] That's it? That's all you got?"
Walter,We had some production problems.
Doze,[weighing the meth] Point five three.
Tuco,"I thought you was a player. You told me two pounds, and now you waste my time with these chiclets? [tosses Walter his money] Seventeen-and-a-half, minus the half for wasting my time."
Walter,"Hey, come on."
Tuco,What?! You gonna argue?! You got something to say?! [pause] You're doing business like a couple little bitches.
Walter,I want all of it. [everyone stares at him] Seventy grand.
Tuco,What did you say?
Walter,"You like this product, and you want more. Consider it a capital investment."
Tuco,"[gets in Walt's face] Look, old bald motherfucker. Fifty-two and a half, 25 points vig."
Walter,Vig?
Jesse,Interest. Weekly.
Walter,"...okay. That's $65,625 with interest. 1.875 pounds."
Tuco,"No. Two pounds. Next Friday, and no production problems."
Walter,Can you handle four pounds?
Tuco,"Listen, old man. Talk is talk, but owing me money...that's bad."
Jesse,Four pounds. Four pounds – like two pounds wasn't bad enough. We're talking two – three-hundred boxes of sinus pills. There ain't that many Smurfs in the world.
Walter,"We're not going to need pseudoephedrine. We're going to make phenylacetone in a tube furnace, then we're going to use reductive amination to yield methamphetamine. Four pounds."
Jesse,So no pseudo?
Walter,No pseudo.
Jesse,"So you do have a plan! Yeah, Mr. White! Yeah, science!"
Walter,"Hey, everything okay?"
Skyler,"No, not really. Heh, actually not at all. You know that, uh, tiara that Marie gave us?"
Walter,Yeah.
Skyler,"Well, she stole it. Yep, I practically got arrested trying to return it at the store."
Walter,Oh my God.
Skyler,"I mean, she refuses to admit it. She refuses to apologize- I-I don't know what to do."
Walter,Hm...people sometimes do things for their families.
Skyler,"""People sometimes do things for their families""? And, what, that justifies stealing?"
Walter,Well...
Skyler,"Wow, that must have been some sweat lodge. Are you even listening to the words coming out of your mouth?"
Walter,What would you do if it were me?
Skyler,"What do you mean, ""if it were you""?"
Walter,"If it were me, what would you do? Would you divorce me, would you turn me in to the police?"
Skyler,You don't want to find out.
Tuco,What is this shit? This is blue.
Walter,"We used a different chemical process, but it is every bit as pure."
Jesse,"It may be blue, but it's the bomb."
Tuco,"[snorts meth] Tight! Tight, tight, yeah! Oh, blue, yellow, pink, whatever, man! Just keep bringing me that!"
Doze,[weighing the bag of meth] Four point six.
Tuco,"Uh! Come on. [Gonzo hands the money to Walter and Jesse] What did I say, man? This guy can cook! You're all right, man. You're all right. We're going to make a lot of money together."
Doze,[with a lot of attitude] Just remember who you're working for.
Tuco,"[angered, he turns and faces him] What did you say?"
Doze,I'm just saying they got to know that they're working for you.
Tuco,Like they don't already know that? Are you saying they're stupid?
Doze,"No, I'm just...I'm just saying."
Tuco,"Oh yeah, so you're not saying they're stupid. So I don't understand. Are you saying that I'm stupid?"
Doze,"No, come on, Tuco. I'm just...I'm just saying."
Tuco,"No, you're just speaking for me! Like I ain't got the goddamn sense to speak for myself! Is that it? Is that what you're doing?"
Walter,"Tuco. Tuco, hey, why don't we just all relax, huh?"
Tuco,"[laughs] Heisenberg says ""relax"". Orale, homes. I'm relaxed. I'm relaxed. I'm relaxed."
Tuco,"[showing off his bloody knuckles] Wooo! Damn, man! Look at that! Look! Yeah, that's messed up! Okay, Heisenberg! Next week. [chuckles]"
Walter,"Adjusting for inflation – good state college – adjusting for inflation, say $45,000 a year, two kids, four years of college...$360,000. Remaining mortgage on the home, $107,000. Home equity line, $30,000, that's $137,000. Cost of living, food, clothing, utilities – say, two grand a month? I mean, that should put a dent in it, anyway. 24K a year provides for, say, ten years. That's $240,000, plus 360 plus 137...seven thirty-seven. $737,000, that's what I need. That is what I need. You and I both clear about 70 grand a week. That's only ten and a half more weeks. Call it eleven. Eleven more drug deals and always in a public place from now on. It's doable. Definitely doable."
Jesse,"Oh, we are dead. Dead men! Muerto, or muerte, or however the hell you...Jesus..."
Walter,This is conjecture.
Jesse,This is conjecture?
Walter,"Conjecture, yes. And conjecture isn't helping."
Jesse,"Oh, my conjecture isn't helping?"
Walter,Could you just state the facts?
Jesse,"Alright, fine, facts in. Fact A: my phone rang like eight times last night. Dead air, hang-ups every time. Second fact? Like three in the morning, I saw that black Caddy of his cruising my neighborhood. No headlights."
Walter,"No, if he wanted to kill us, he would have done it at the junkyard."
Jesse,"What is that? Conjecture? Are you basing that on that he's got a normal, healthy brain or something? Did you not see him beat a dude to death for, like, nothing? And that way–that way he just kept staring at us. Saying, ""You're done."" You're done?! You wanna know what that means? I will tell you what that means! That means exactly how it sounds, yo! Alright, we are witnesses, we are loose ends! Right now, Tuco's thinking, ""Yeah, hey, they cook good meth, but can I trust them?"" What happens when he decides ""no""?"
Jesse,"Alright, say we set up one last sale - this is providing he doesn't decide to waste us before then. Now every time we bring in a new batch, he always tests the product, right? So... as his head is down, y'know giving it a snort, just: pop, pop, pop!"
Walter,"Pop, pop, pop? So, three shots?"
Jesse,"Yeah, three shots, or I dunno, two?"
Walter,"No, wait- so is it two or is it three?"
Jesse,"I mean, two would probably work, I guess, yeah."
Walter,"Okay, two shots. Two shots in the chest, two shots in the face, what?"
Jesse,"Man, c'mon-"
Walter,"No, I am just trying to understand how this works! [pause] Okay. Alright, we'll put a pin in that - but by now, the big guy, Gonzo, he's probably coming at you, right?"
Jesse,Yeah...
Walter,"Right, so you turn towards him-"
Jesse,"Yeah, just whale on him-"
Walter,"-and then, how many shots for him? I mean, he's a big guy, right? How many shots does that take?"
Jesse,"I dunno, three? Three shots?"
Walter,"Okay, three shots. Okay, Tuco and Gonzo, two men down...now, is there anyone else there? I mean, Tuco is usually with someone else, right? Maybe even a couple of guys, his- his dealers, his posse? [Jesse is unable to answer] Alright. So, we'll put a pin in that one, too. Now at this point, how many shots have been fired? I mean, you've gotta be running low, right? How many bullets does that gun even take?"
Walter,"How can you suggest that we kill a man and you can't even open the gun? It's not that easy, is it?"
Jesse,"Hey, man, Walt...you did it."
Jesse,"Look, it's got five bullets. I finally figured out how to...[Jesse struggles to open the gun]...look, I just finally...[Jesse gets it open]...I figured it out. I say we get a second gun. Right? For you? I mean, don't we like double our chances? I mean, mathematically?"
Walter,I've got a better idea.
Jesse,"Oh, thank God! Alright, what is it, Mr. White? Lay it on me."
Walter,[holds up a small bag of...] Beans.
Jesse,Beans?
Walter,They're castor beans.
Jesse,"So what are we gonna do with them? Are we just gonna grow a magic beanstalk, huh? Climb it and escape?"
Walter,We are going to process them into ricin.
Jesse,Rice and beans?
Walter,[rolls his eyes] Ricin. It's an extremely effective poison. It's toxic in small doses. Also fairly easy to overlook during an autopsy.
Jesse,"Alright. Alright, so..."
Walter,[slaps Jesse's hand away from the beans] Don't touch them!
Skyler,"I need support. Me, the almost forty year old pregnant woman with the surprise baby on the way. And the husband with lung cancer who disappears for hours on end and I don't know where he goes and he barely even speaks to me anymore. With the moody son who does the same thing. And the overdrawn checking account. And the lukewarm water heater that leaks rusty looking crap and is rotting out the floor of the utility closet and we can't even afford to fix it! But oh, I see! Now I'm supposed to go, ""Hank, please, what can I possibly do to further benefit my spoiled, kleptomaniac bitch sister who somehow always manages to be the center of attention?"" 'Cause God knows she's the one with the really important problems!"
Tuco,"Last two days, I couldn’t get Gonzo on the phone. He’s been acting all pouty on account of No Doze. Explain to me. How is it my fault that that little bitch did not know his place? [pause] I saw this coming. I can see the future, you know? It’s this gift that I have deep inside my head. I knew last night they were gonna come try and bust me. Gonzo...he went and snitched to the cops! That LOUSY SON OF A BITCH! I TRUSTED HIM LIKE A BROTHER! [takes knife] I WAS GOOD TO HIM! I WAS GOOD!!!! I see Gonzo, [starts stabbing the table with the knife] I'M GONNA GUT HIM, I'M GONNA SKIN HIM, AND I'M GONNA STUFF HIS HIDE FOR A HEAVY BAG!!!!!!! And every time I hit him, IT'S GONNA BE LIKE A LESSON TO MYSELF! YOU NEVER, NEVER TRUST THE PEOPLE THAT YOU LOVE!"
Jesse,"[long pause] So, you plan to, uh, ice Gonzo, like...future tense?"
Tuco,What?
Walter,"You're saying, Tuco, you're saying Gonzo is currently operating as a police informant as far as you know? [Tuco nods] I'm very sorry to hear that. That's disappointing."
Jesse,"Yeah. I would waste him, too, yo."
Tuco,Shut up.
Jesse,Okay.
Marie,Chemotherapy and marijuana go together like apple pie and Chevrolet.
Walter,Chili powder. Did I not already tell you how moronic that was?
Jesse,"Whatever, man. At least I tried something. Hey, it almost worked, too. How's about you leaving my gun, huh? First you boost it, then you leave it in your house. My gun."
Walter,How was I supposed to know you were chauffeuring Tuco to my doorstep?
Jesse,"Well, at least he wants you alive."
Walter,We need a plan.
Jesse,"Think, think. Let's just bum rush him, man. You know, you crack him over the head with something and I'll go for his gun."
Walter,Crack him over the head with something? [Walter sarcastically holds up a fly swatter]
Jesse,"You got the C, man, alright? You're as good as checked out already, okay? You should be all like sacrificial, jumping on a grenade, yo. Just..."
Walter,"Oh, so my life is not the priority here because I'm gonna be dead soon anyway? That's your point?"
Jesse,"Uh, yeah?"
Tuco,"What? What do you want?! No. Don't even tell me you're hungry. Don't go there. [Tuco notices Hector is staring at Walter and Jesse] Hahaha! Are you mad doggin' them, tio? What, you don't like them? [Hector rings the bell] One ding. That means yes. Tio don't like you. Why don't you like them, tio? You don't trust them? [Hector rings the bell] Why don't you trust them, tio?"
Walter,"Tuco, c'mon, hey, he's, there's clearly some dementia. He's not lucid."
Tuco,"Shh! Did they do something to you, tio? Was it something that you don't like? [Hector rings the bell] What did they do to you? WHAT DID YOU DO TO MY TIO?!"
Walter,"Nothing, nothing."
Tuco,BULLSHIT! MY TIO DOES NOT LIE!
Walter,"I don't know. I swear, I don't know. I, no, I, it, maybe it was, I did change the channel on his TV, but, uh..."
Jesse,"Yeah, yeah, yeah, that's it. While you were cooking, you know, he was watching one of those, uh, those, uh, telenovels, y'know, with all those ripe honeys on it? Y'know, he was really into it. I told you not to change the channel, man! Y'know, dude needs his eye candy. That's it!"
Tuco,"Hahahahaha! Tio! Is that it, tio? Is that it, tio? Did they change your mamitas? [Hector is silent] What are you telling me, tio? Huh? Are they punking me? [Hector rings the bell]"
Jesse,"Hey...no...no, man. No..."
Tuco,COME HERE!
Jesse,Don't shoot!
Walter,"No, no, Tuco!"
Walter,Tuco...
Tuco,SHUT UP!
Jesse,"No, please, no! God, please, no! Oh God, I don't wanna die!"
Tuco,"Tell me what you did, Walter!"
Jesse,"Jesus, I don't wanna die! NO!"
Tuco,TELL ME WHAT YOU DID!
Walter,"We tried to poison you. We tried to poison you because you are an insane, degenerate piece of filth and you deserve to die."
Jesse,[kicking Tuco into the shallow pit] Who's the bitch now?!
Walter,Let him bleed.
Marie,"Well, which supermarket? Is it like a big one? Like a chain?"
Skyler,Marie...
Marie,"Don't get me wrong. I think it's just great that he's, y'know, back and he's feeling better. I just, I mean, he...naked. He was naked naked in a supermarket. It wasn't Whole Foods, was it?"
Hank,"So who's your chief, little Injun?"
Jesse,What? What does that even mean?
Hank,"It means I think your story's bullshit. I think you know who Tuco Salamanca was. I think your car was there because you were there. Tuco had a bullet in him when I got there and I think you know something about that, too."
Jesse,"So what're you saying? Like, I shot someone with, like, a gun?"
Hank,You? No. Only shooting that you do is into a Kleenex.
Walter,"Look, doctor, I feel fine. Really. Now, if this is truly necessary, can't I continue as an outpatient?"
Therapist,"Walt, a fugue state is a very serious event. What if you were to disassociate when you were driving? What if you were to get into a situation where you could be shot by the police? You understand we can't allow you to leave, until we're certain what happened is a non-recurring event. Saying you feel fine doesn't solve this."
Walter,Would you tell me about patient confidentiality?
Therapist,"It's very straightforward; without your permission, I can't disclose anything you tell me to anyone."
Walter,What about my family?
Therapist,"Not to your family, not to the police, not to anyone. The only exception would be if you threatened to kill someone...then I'd be able to tell that person, but only that person."
Walter,And you - as a medical practitioner - you abide by these strictures absolutely?
Therapist,Yes.
Walter,"Alright...there was no fugue state. I remember everything. [stands up, removes tubing] The truth is... I couldn't stand to spend another second in that house. I just had to...get out, and so I left. I didn't think about it, I just did it. I-I walked for a long time, and when I couldn't walk anymore, I hitchhiked. I got as far as Gallup... [sighs] ...and then it was just time to come home."
Therapist,"So, being found naked in a supermarket; that was your way of giving credibility to a lie, of avoiding questions about your disappearance? Why run away? What did you feel you had to run from?"
